Comment,Emotion
"atvažiavo i europa ir daro tvarka ,kaip savo kieme...",No
"Žinot, mane žeidžia musulmonai, kurie gyvena dešimtmečius Vakaruose ir niekaip nesugeba atsikratyt savo siauro Islamiško dogmatinio mąstymo bei dar priekaištauja juos priglaudusiom šalim, kad daro kažką ne pagal jų islamistines užgaidas. Jei jau čia į Europą atvažiavot, būkit malonūs, neprimetinėkit savo tvarkos, nes europietiškas svetingumas labai greitai gali išgaruoti, kai dėl teroristinių išpuolių, rinkėjų palankumą įgaus kraštutinai dešiniosios (kartais ir pro-Putiniškos) politinės jėgos.
PS. pilietybė ant popieriaus dar nieko nereiškia, todėl jei nori tapti tikru Lietuvos piliečiu, reikia ir savo vidines vertybes irgi pakeisti į lietuviškas ir nelaikyti Islamo aukščiau negu Tėvynės.",No
"Man atrodo kad jie turetu prisitaikyti ,one mes juk jie atvyko i musu sali .kai mes atvykstame ikita sali kazkodel ten irgi prisitaikome .",No
"Jei nepatinka mūsų gyvenimss tai juk turi gimtas šalis. Ten ras ir aklinus drabužius, ir mečetes ir 5 ar 6 kartus per dieną rėkiančius mula. Viską ras taip, kaip paliko. O mes gyvenam savo šalyje, pagal savo papročius.",No
"O kas nenatūralaus, kai moteris dėvi mini sijonėlį? Ar bandėt kuri pavaikščiot su mineku muslimų kraštuose? Kodėl tik jų teisės turėtų visus jaudinti?",No
O musulmonų šalyse yra katalikų bažnyčios?🤔🤔🤔😃,No
Rimantas Razinskas yra kaikuriose,No
ir katalikų šalyse yra pvz Švediją,No
"jau tie kaušai prisidirbo su „tolerancija"" ,😆",No
Jus ce diskutoete ape musulmonus .ka e daro evrope .bet nors venas pogolvoe ka padare te pates evropecai i amerikecei ju salim kisdamasi .ce tik mazas atpildas .dzoukites kad dar iki mus nedoejo . O patis musulmoni yra labai drougiski i vaisingi zmones,No
"padekokite merkel vokieciai,bet padekosime ir mes lietuviai ateityje uz jos imigracijos vykdyta politika padarinius",No
"Iki siolei buvau tolerantiska,bet kai KAI KURIE perzengia tam tikras ribas zmogiskumo,ir tik is pasalpu tegyvena tai tokius isvis nepriimti i Europa.tegu sedi savo saly ir ten gauna pasalpas",No
Kai už šiuos gal ir gan dažnus užpuolimus imsime nekesti to pasaulio dalies tai tokie užpuolimai tiktai dažnės.,No
As ir prisijungsiu su popcornais 😃,No
"Nevaidink is saves labai protingo,nes vien tik si fraze musulmonai-teroristai tave visiskai kitokiu parodo..ju pasaulyje yra ne miljonas,ne 100 ir ne puse milijardo..tad... simpatizuot nereikia.. ir vargu ar tu buvai civilizuotoj islamiskoi valstybei,kur smurto n kartu maziau nei pas mus..vien tai irodymas,jog jie negeria..kur alkoholis,ten smurtas",No
gal visi isprotejo ar cia kokia zmones bauginanti valdzios taktika? nesuprasi nei rysio tarp nelaimiu visu nei kuom cia baigsis bet kad kazkas baisaus tai tikrai,No
Pas mus pervazuokite per kaimus tsi manau baisisu negu afganistabas laksto nuo pilstuko,No
"Pats sau priestarauja. ""Kaimuose baisu"" ""grazeja kaimai"". Diedas, apsispresk ka nori sakyt",No
Kaimietis jeigu su kirviu.,No
aš kažkaip nebenoriu niekur važiuot,No
"Protu darosi sunku suvokti, kas vyksta pasaulyje ir link ko einame ..",No
Pasaulis desningai kraustosi is proto...,No
Išprotėjo pasaulis.,No
"Kas cia vyksta, zeme is po koju slysta",No
Ačiū Merkel 👍🏻,No
linksmybes tesiasi,No
Ir vel nu kiek galima,No
Medkirciu ir mesininku era let´s began !!!,No
Prie ruso buvo geriau...,No
Medkirciu ir mesininku era let´s began !!!,No
As gal liksiu su 10 min ok?,No
Kiekviena diena vis tokios naujienos.. Baisu..,No
Juokai čia.,No
"Dieve kas darosi,baisu",No
"Aš šoke. Kas galėjo pagalvoti, kad taip bus.",No
nezinau ar kur nors yra saugu atostogų 😂🙄,No
"Liudininkai, t.y. kiti keleiviai "" jokių pretenzijų neturėjo"". Kaip tai svarbu?",No
aiskiai istorija isgalvota..,No
Amen 🤣🤣🤣,No
"JESUS is SAVIOR!
HE saved Mary and HE can save you!",No
Amen,No
Prie kunigėlio nelabasis pristojo!🙏,No
Ne bažnyčioj tokiems vietą🤔😁😁😁😇,No
",,Geras,,kunigas,ne bažnyčioje jam vieta.",No
"Kokia čia svieto pabaiga! Baigė kunigų seminariją ir dirba darbą. Toks pat, kaip ir visi, nieko čia švento nematau iš jo. Kvailas, kad su bobom prasideda, būk savo vietoje. 😔",No
"kunigystė yra vienas iš sakramentų ir lyg neturėtų būti prilyginama darbui. Kunigas turėtų būti tarpininkas tarp DIEVO ir žmonių. Tai tarnystė DIEVUI, o ne darbas. Bent taip turėtų būti.",No
"mano vaikai vaikystėje nesilankė bažnyčioje vieni. O vėliau, kas liečia tikėjimo reikalus, gyveno taip, kaip jie norėjo.
Su DIEVU kalbamasi ir be tarpininkų. Bet katalikų konfesijoje yra tam tikri reikalavimai, taisyklės, įsakymai, kas liečia dvasininkus ir mokymą.",No
"nematau nei dvasininko, nei vyriškumo, nei moralės rimtai svieto pabaiga👎👎👎",No
"Mano nuomonė, pokalbiui su dievu, tarpininkų nereikia. Kunigas,, pasikartosiu, dirba savo darbą. Jei jie bijotų dievo, kai kurie tokių šunybių nekrėstų. O jeigu tavo vaiką.... Ką tada giedotum? Nepyk, čia mano nuomonė. 🤗",No
nepranašaukite dar nėra svieto pabaigos - blogus pranašus liaudis niekina,No
Oi nubaus Dievulis už skausmo sukėlimą artimam.,No
Svieto pabaiga🙄,No
Buvo apsėstas velnio😁,No
Gal nusipelnė 😏😁,No
Dievas dovanos 😃,No
"Aš nesuprantu vieno..... nu negi visiems reikia toje Bažnyčioje tuoktis, o po to beveik pusei skirtis ? Už suknia jaunoji kloja tukstančius, makeupas šimtais , nagučiai daromi irgi brungiai, o Bažnyčiai paaukoti gaila ? Nemaža dalis kunygų ir mato tokius jaunuosius, ir iš jų ima daugiau. O kodėl gi ne. Jei tik dėl fotkių vedasi, tai tegu ir moka. O po po to nori anuliuoti santuoką...",No
"Su mokesciais ar be? Pala, kokiais mokesciais..?",No
"Kam nepatinka ir nesituokit baznycioje,o komentuoja lyg zinovai,dabar irgi santuoka nutraukia Popieziaus leidimu,esant svarbiai priezasciai,o baznyciai tai kainuoja ,dokumentu paruosimas,perdavimas,bet visi nesuprantantys tik kad pasibjauroti nesvarbu ar baznycia ar seimas,ar daininkas,ar netiesa,kas kalba dar apie sazine,geriau patyletu",No
O aš maniau kad iki grabo lentos o čia mat kaip išeina 🙄net bažnyčia leidžia kelis kartus tuoktis 🤔nu nežinau man tai santuoka prieš dievą šventas reikalas jai jau pažadėjęs tam žmogui iki gyvenimo galo 🙄tai kaip čia galima anuliuoti paskui kitam pasižadėti kažkaip ne šventai gaunasi🤔,No
Tik 200 ir dzievulis leidžia skirtis 😃 nu kaip ir pigūs įkainiai dar pas jį 😃,No
"Aukoja pinigus savu noru . Dar nemačiau , kad būtų prievartinė rinkliava. Nenorit - neduokit .",No
"Drįsčiau abejoti teiginiu ""įprasta prašyti aukos"". Gal būtų tiksliau ""tikimasi aukos"". Bent jau kiek man teko susidurti LR bažnyčiose, niekas aukos neprašė, o kai duodavau auką, paklausdavo ar tikrai galiu / išgaliu aukoti.",No
"o ar jums teko matyti ? Ar tik girdėti ? Na, kunigas irgi tik žmogus 😣. Jis nėra Dievas .",No
"Tik 200, tai visai nedaug....teismai, nutraukiant civilines santuokas, ženkliai daugiau ima. Nenorėkit veltui, bažnyčią taipogi reikia remti, kas čia per paskaičiavimai....be to juk nieks neatima, patys duodam pagal išgales ir niekada nepasako jog mažai... nesupeantu, negi čia visi rašo netikintys, nekrikščionys....o oasiidomaukit kokias riknliavas daro kito tikėjimo cerkvės, net nuo atlyginimų tempia procenraliai....man kažkaip įdomu tokios rašliavos, juk nenorit netikėkit, nesinaudokit teikiamom paslaugom ir nemokėsit....nepykit, bet man Jūsų komentarai tikeai svetimi ir širdžiai nepriimtini. VEltui niwks nieko nedaro, už paslaugas reikia mokėt...kunigai tokie pat žmonės kaip ir mes, tai jų darbas, o pažiūrėkit ką seimūnai daro, kokias algas ima ir vis iš mokesčių mokėtojų pinigų, kodėl jų nematot....",No
"O kam ji išvis reikalinga?dievas visur yra.Sąžinė!štai ,kur žmogaus Dievas.jei jos neturi tai už jokius pinigus nenusipirksi.o dabar kokių tik nori naujų dievų prisigalvoję,reikia tik vieno Sąžinės .🤔ir kaip gražiai visi gyventume😇😇😇😇😀😀😀",No
"jeigu nedjuosi pasakytos sumos tai neis nei palaidoti nei pakrikštis,nors Dievo žodis sako,kad pakrikštyti ir palaidoti turi veltui,kunigai daro didelia nuodėme už tai imant pinigus patys nustatydami kainą.",No
jei viena kart tuokeisi baznycioj sakydavo kad antro karto negali but jei issikyrei. tai kaip dabar 200 susimoki ir vel zenytis gali🤣seniau bent budavo kursai. nu nebut lietuva🙄🤣,No
"TAI ŽMONIŲ PADĖKA
D I E V U I IR JŲ
LIUDIJIMAI UŽ T A S DOVANAS
IR STEBUKLUS,KURIAS J I E
GAVO IŠ D I E V O",No
"Gražiausia , jaukiausia,
Tėvo Stanislovo bažnytėlė Paberžėje. Ten sienos kalba vienuolio maldą ir laimina mus ...",No
"aš ne katalikė, tačiau įėjus į šv.Petro ir šv.Povilo bažnyčią - nuščiuvi, užlieja ramybė. Antroje vietoje - šv. Kazimiero bažnyčia. 😇",No
"Labai grazu ,sventa, ramu 🌋",No
Nuostabiai graži bažnyčia.labai patiko.,No
"Kas is to grazumo jei tikejimo nera, arba jis apsimestinis. Tai jau geriau zmones paprasta koplytele turi kaskur kaimo pakrasti renkasi maldom, nei cia pasipuikuoti ale graziausia baznycia",No
Ir visos jos pastatytos Dievo...,No
Tobulas zmogaus tamsumo pavyzdys,No
Netikiu.,No
"Man Šv. Marko Venecijoje gražesnė. 0 kur Familia Sagrada, tame sąraše visai nėra. Iš lubų kažkas sąrašą sudarė",No
"Netikiu nei vienu žodžiu🤔Ten jų gyvenimai paskendę purve,mele ir toliau eina tuo keliu.Apie kokį Dievą jie kalba?",No
Dievo parašykit atleidimo😬,No
Niekad tokiems negalima atleisti kur jusu Dievas buvo,No
Niekad tokiems negalima atleisti kur jusu Dievas buvo,No
sako kur sunu leis mokytis i kunigus tai mergu ir pinigu niekada nepritruks,No
ACIU UZ KOMENTARUS 🥰,No
"Atsiprašymai nepadės, turi keisti katalikų bažnyčios dogmas. Turi leisti kunigams turėti šeimas kaip jr visose kitose religijose. Jie juk žmonės kaip ir visi, tada nebus išnaudojimo.",No
turtingiausia valstybe Vatikanas,No
"Koks dar atleidimas,i kaliuze juos,lai dievas atleidzia.!!",No
"Kad ir koks būčiau tikintis,šis man ne prie širdies.nemielas.",No
Kas čia per visuotinis pavydo protrūkis.....Būtų man tiek kiek jam.......Bet aš jam nepavydžiu. Ir milijonieriams (ar tikrai???) reikia .....,No
"Kadangi save myliu,tai Tevyne perkeliau i Svedija,o tie kas saves nemyli,te ir toliau vergauja Lietuvoi uz barsciu lekste",No
"Priešingu atveju, risimės pakalnėn, kaip ritomės iki šiol. Neapleidžia viltis, kad gal pagaliau kažkas pasikeis šitoje srityje.Galima daryti išvadą ,kad nelikus tos palaimingos vilties,kurią gali pradėti realizuoti naujoji valdžia,Lietuvos visuomenė(tai neliečia emigrantų) savo galutiniu nusivylimu, viskam abejingumu,nuties palankius kelius ,traiškant mūsų nepriklausomybę ,rytų kaimyno tankams.",No
"Trumpai paaiškinsiu: Glavecką nustūmė, nes AMB reikėjo tik kuo daugiau privatizuotis...sau...kaip sakė a.a. A.Veselka- bet ką privatizuojant reikėjo dalies AMB žmonėms. Jakeliūną nustūmė- nes tas norėjo iš buvusios TSKP-LDDP-LSDP padaryti socialdemokratine socialdemokratiniais mokečiais...nesuprato, kad auksiniai šaukštai svarbiau... ir trečias- perdaug mokytas, kad suprastų, jog pvz. nedirbusi mokykloje ministrė nemokės valdyti švietimo ar psichitaras valdyti prekybą?",No
"Gal dauguma su manim nesutiks, bet yra geriau turėt viziją ir mokėt ją įgyvendint besikeičiant sąlygom, nei turėt konkretų planą ir susimaut pasikeitus situacijai. Tai kas vyko paskutinį dešimtmetį irgi galima pavadint penkmečio planais, kuriuose valdantys matė vieną kryptį, tai yra surinkt numatomą biudžetą didinant valdžios pajamas, o pajamoms didinti matė tik dvi kryptis:1 didint pajamas didinant mokesčius.2 mažint išlaidas siaurinant gavėjų ratą.",No
"Du taškai (..) rašė: Sauliau, ar pamenat Krylovo pasakėčią apie vėžį, lydeką ir gulbę įkinkytus į vieną vežimą? Skirtingos socialinės grupės turi skirtingus interesus. [..]Matyt, nežinote, kas yra kolektyvinis intelektas, kaip jis veikia. Kolektyviniame intelekte nėra socialinių grupių, jis yra nukreiptas tik į geriausio sprendimo suradimą net kiekvienam kolektyvinio intelekto subjektui nežinant, kaip apibrėžiamas geriausias sprendimas. Taip yra todėl, kad kolektyviniame intelekte nėra vietos asmeniškumams, kurie dažniausiai veikia destruktyviai. Čia, komentaruose, dauguma taip pat neatskleidžia savo tapatybės, ir tai yra sąlyga, kad būtų išvengta arba besąlygiško komentaro autoriaus garbinimo, arba besąlygiško jo niekinimo.Gera kolektyvinio intelekto analogija yra oro temperatūra, – atskirų (individualių) molekulių judėjimo bendras rezultatas; atskira molekulė temperatūros neturi, turi tik judėjimo greitį.Bendrais bruožais su kolektyviniu intelektu galima susipažinti James Surowiecki knygoje The Wisdom of Crowds: Why the Many Are Smarter Than the Few and How Collective Wisdom Shapes Business, Economies, Societies and Nations, o praktiškai – platformoje omnicracy.net",No
"Įvedus eurą ir pakėlus minimumą, lietuvių gyvenimas labai suprastėjo, nes viskas pabrango. Visi juk euro kainos 1 prie 1 kaip litų, o algos liko tos pačios.",No
"neturėjo jokie """"gelbėtojai"""" bent kiek ilgesnį laiką valdžios išskyrus socdemus ir konservus. Varė rokiruotę šios dvi partijos visus 26-erius metus. Ir tik nereikia pasakų, kad tie patys konservai nebando prisiimti gelbėtojų auros. Tie zuoko ir darbo partijos pavyzdžiu per rinkimus burti atlyginimų pažadų maginiai skaičiukai, kur net nausėdos su mačiuliais paskaičiavo, kad tai visiškai nerealu, nes ekonomika ne po 2-3, o po 15 % kasmet turėtų augti; tie tūkstančius kartų pakartoti burtažodžiai """"permainos"""" ir """"proveržis"""" palyginti su ankstesniais pasiekimais...Žmonės nusivylę, tiesiog ŽINO, kad tradicinės partijos ir toliau suksis korupcinėje sistemoje su kuria seniai suaugusios ir niekas iš esmės nesikeis. Dėl to prabalsavo už ganėtinai naivią, bet idealistiškai nusiteikusią ir dar nekorumpuotą politinę jėgą.",No
"Tai juk buvo iškart pasakyta, kad opozicija gerus naudingus valstybei sprendimus palaikys. Tad stenkitės pasiūlyti kuo daugiau gerų sprendimų.",No
"Donatai,o tu manai kad ukrainiečiai dabar geriau gyvena nei valdant Janukovičiui?Gal žinai kaip sugražint oligarchų išvogtus pinigus?Kaip atimt iš Tymošenko 5mljrd dolerių kuriuos ji pavogė bet EuroMaidanas ją išlaisvino?",No
"Na pats ir įrodei, kad socialinė gerovė lemia kiek žmogus vartoja alkoholio, bet mūsų valdžiai tai per sunkus uždavinys, todėl ir daro tai, ką sugeba """"drausti, drausti, drausti""""...",No
"Kažkodėl valdžia tyli apie internetinę prekybą. Per ZZZ galima užsisakyti alkoholį į bet kurį Lietuvos atokiausią kaimelį. Va jums ir prieinamumo mažinimas... Matyt, vis tik ne tie tikslai...Kažkam reikia verslo nišos. Klausimas ar ne ZZZ?",No
"Aciu, kad pagaliau pradesime apsivalyma nuo velbio lasu. Pagaliau vaikai tures laiminga vaijyste ir Lietuva prades blaivytis.",No
"Borutai,su naujais ir ishgerk dar nuodu,kaip ten sako i sveikata;)",No
"Jo, jo.. visus suvaro į parduotuvę, užremia duris ir prievarta girdo..",No
"Pritariu,bet , pagal nyksciu vertinima,man graudu darosi,kad 50% zmoniu uzzombinti siais nuodais;(",No
"Jasikevicius nenorejo, kad Nevezis butu sutriuskintas o norejo garbingai jiems primest.. pagalvojo, kad JaFtokas prisaudys trajaku tai ir paliko ji ant suolo tiesiog. :D",No
"oho net nustebau delfis nesaliska straipsni parase,ar tik nebus laipsniskas perejimas i kitą pusę?",No
"Pagaliau, nors ir labai pavėluotai Delfi išspausdino ne šališką ir ne propogandinį straipsnį apie tai, kas vyksta Sirijoje. Ir tai ne savo, o perspausdintą iš LRT, vokiečių apžvalgininko.Norėtūsi, kad tai būtų ne išimtis iš taisyklės, o taisyklė. To ir linkiu daugiausiai skatomam portalui",No
Ar čia gal vis tik susiję su artėjančia Trampo inauguracija? Vis tik keičiasi šiek tiek maitinančios rankos kryptis...,No
"Gal DELFI netyčia paspaudė """"Publikuoti"""" vietoje """"Neatkuriamai ištrinti"""" prie šio straipsnio? :O",No
"Seniai reikejo sujungti ATPK ir BK, dar vis bando rasti skirtuma tarp sunkesnio """"nusizengimo"""" ir """"lengvo nusikaltimo""""... Taip nera ir buti negali. Turi buti vienas bausmiu kodeksas, kuriame butu numatytos bausmes pagal ju sunkuma ir tiek ir galiotu vienodi teises principai, net priimtas naujas nusizengimu kodeksas tu problemu iki galo neissprende, o dar sukure aibe kitu. Kaitalioja dalimis ir vis isradineja dvirati, kai jis jau seniai israstas.",No
"Du KK,tai Kubilius ir Kreivys.Sios dvi pavardes neturetu buti minimos viesai.Mano manymu tai vieni is labiausia prisidirbusiu konservatoriu ir daranciu siai partijai geda.",No
"Galejai geriau tiesa pasakyt - """"Filmavausi, nes tai netikras filmas: Ramanauskas - ne rezisierius, o as - ne aktorius. As net ne maisto kritikas, as gi paralonine kaliause""""",No
"Vargšas žmogus ta Užkalnis, suvokia save kaip intelektualą, o yra - tai priešingai...",No
"Elfonsas,Ruolis...tie patys darbdaviai...ta pati demagogija....apie poligonus....:D:DJei Leituvoje nebutu USA,butu seniai okupantas atejes.",No
"arba hitleriui,kuris priejo liepto gala:)anam irgi maza teritoriju buvo",No
"O kaip JAV sveikatos prieziuros kainos? Kaip su mokslu mokykloje, kurioje nesaudo? Kaip su maisto kokybe?",No
"Nematau cia sensansacijos, paslaugų kainos didelės, maisto irgi, matyt autoriui pritrūko dėmesio, nusprendė pasijuokti iš tėvynainių.... Nepavyko ir labai neskoningai..",No
"E621 - Kinija, tiriama jau šimtmetis. Populiacija auga net su vieno vaiko politika (na dabar jau kaip ir du).",No
"Na metinės pajamos net labai geros. Kiek žinau JAV vidutinės metinės pajamos šeimoms yra tarp 40 000 ir 60000 dolerių, o su žemesnėmis pajamomis žmonės sunkiai išgyvena. Ten yra ir kuponų bumas su kuriais galima sutaupyti ant pusfabrikačių. Taigi šie lietuviai ten tikrai gerai gyvena JAV. Jų pajamos ir gyvenimo stilius atitiktų mūsų pasiturinčių žmonių ir valdininkų gyvenimo stilių. Džiugu dėl jų, bet tai neparodo adekvataus palyginimo. Vaizdo teisingo irgi nesusidariau, o šiems lietuviams sėkmės",No
"laikas nestovi vietoje, pokyciai vyksta metai i metus tai yra viso pasaulio tendencija.zmones prisimena paskutinias permainas bet neprisimena netolimos (gal but kai kam tolimos) praeities kai po rubliu atsirado """"vagnorkos"""" paskum Litai o dabar ir mes kaip ir dauguma Europos vartojame Eurus .Tai ta ganai nesena valiuta kuri mus dar labiau sujungia su Europa ir reikia dziaugtis o neieskoti priekabiu prie Euro ivedimo. Kainos vistiek nestoves vietoje , ar butu Litas ar yra Euras.Faktas tik tas kodel Lietuvoj uzdarbis toks zemas , juk Lietuvoj zmones dirba ne ka prasciau o dar ir geriau negu Vakaru issivysciose salyse. Kazkas turi buti keiciama. Tikesime Nauju Seimu ir Nauja Vyriausybe.Tepadeda Jems Dievas.",No
"Na jau na jau, gyvenu JAV nuo 1983 metų, su draugais per facebook'ą pasidalinu kelionių nuotraukomis ir video vaizdais. Bet niekada neatėjo į galvą girtis savo pajamomis ir išlaidomis brangiame supermarkete.",No
"Em, čia tikrai """"tipinis"""" household? The U.S. Census Bureau reported in September 2014 that: U.S. real (inflation adjusted) median household income was $51,939 in 2013. below the 1999 peak of around $57,000. The Census Bureau estimated real median household income at $53,657 for 2014 and $54,462 in 2015.",No
"autoriau,užmiršai vieną smulkmeną parašyt-į supermarketą eini nupjautvamzdį už skverno užsikišęs",No
"Beje, ponui Jackevičiui reikėtų susipažinti su viešosios kalbos etika ir kultūra.",No
"Atimti vaikus? O kur juos visus deti? Juk jie ir vel paklius i """"socialdemikratu"""" aplinka.PSValstybe moka pasalpas visiems """"socialdemokratams"""", kad sie jas pragertu. Pasalpos galetu ir turetu buti atlygunimas uz darba buti blaiviam. Progoms kai negalima isvengti to tegu diena pries deklaruoja rastu seniunui, SMS'u... Socialines tarnybos tures proga pakontroliuoti. Alaus butelis - 0,4 promiles - nesiskaito. Socialiniai darbuotojai turetu tureti alkotesterius...Elementaru.",No
Jis man panasus i melageli lizingini. Nieko nera apie ji internete....,No
"Precedentas afišavimuisi - blogas ir blogiau būt negali. Bet , jei anas """"princas"""" su gera charakteristika ir toji nepilnametė nelaiko to pinklėmis jai pačiai (turėtų būt išsiaiškinta prie stalo su tos vietos prokurorais kur jie """"neršia"""" sukvietus juos du). Ir galėtų sau be poka'zū'ch'nį variantą abudu gyventi... Bet gi ne matai, išeina, kad precedentų skatinimas yra normos ribose... Anaiptol padorūs piliečiai šito taip nelaiko...",No
"Jau gali emigruot...nepavyks zaliems...jie zali.. Pats matai, nuo ko pradejo """"kelt ekonomika"""" - nuo vyzu ir fortepijono...",No
"Matosi nemėgsta LLI ir rinkos ekonomikos :) bet yra gerų argumentų. Iš esmės laimės ekonomika lietuvoje negalima dėl bendro pasitikėjimo stygiaus, čia kaip ir Graikijoje ar šiaurės Italijoje labai sunku kurti socialinį kapitalą ar veiklias institucijas, F.Fukuyama net pora knygų apie tai yra parašes priešingai nei ekonominiam socialinės tautos, vertybiu reformos daromos keliais dešimtmečiais, patronažui panaikinti JAV/UK prireikė daugiau negu šimtmečio. Manau kaip jauna demokratija LT visai gerai laikosi ,kad ir kaip neigiamai šis seno kirpimo ekonomistas teigia :)",No
"3 LT Donkichotai-Glaveckas, Jakeliūnas, Kuodis....pirmą nustūmė A,Brazauskas, antrą- A.Butkevičius, trečiam net neleido pasireikšti koljochoznikai?",No
"Bet užtat biudžetas papilnėjo, nes PVM padidėjo, dėl ko į biudžetą daugiau prikapsi :)",No
"Pesimistiški prognozes tapo realiais,optimistiški-nerealiom pasakaitem arba apmokamais.....Ateitis-pesimistiškai realia perenaiti i katastrofiškai depresuojančia...BET pradejo šalti,Gal dar atkeliaus sniegas.... pajausim žiema...ir tai Džiugina-;D",No
"Pačiam, matau, prie širdies abstinentas Hitleris, o man labiau- Čerčilis, kuris yra pasakęs """"iš alkoholio pasiėmiau daugiau, negu jis pasiėmė iš manęs""""",No
"Yra apie 20 minkštų įrankių, kuriais valstybė gali reguliuoti svaigalų vartojimą. Sujungus visus juos į darnią sistemą, alkoholio suvartojimą per metus galėtume sumažinti 20-30%, o biudžetas neprarastų įplaukų. Tačiau specializuotų alkoholio parduotuvių atsiradimas ne didmiesčiuose gali sukelti priešingą efektą – alkoholio suvartojimas tik didėtų.",No
"SHASHIUK,Nieko nėra baisesnio už fanatikus, visos pasaulio tragedijos per demagogų vedamus fanatikus.O dėl manęs būk ramus, paspringsi.",No
"Nemire ne vienas,kad maziau gere.O laikyti ir naudoti kaip vaistus,problemu nebus.Is vaistines tiesiai i specializuota parduotuve snapsiuko nusipirkt.Pasiskaiciavai menesio norma,nusipirkai ir menesi ramus.",No
"Vaidui-tie kurie laike po viena karvute,jau senai sudoroti.Kaimo parduotuves uzkimstos pieno produktais,ko anksciau niekada nebudavo.O degtine kaimo parduotuvese pavojinga pirkti,nes daugiau isgeres gali ir nebeprabusti.Realybe tokia.",No
"Dar kartą sakau, degalinėse alkoholio apyvarta buvo tik apie 2 proc., todėl ir neužsidarė",No
"SHASHIUK,Man tai tu, o kas tau...? :) Panagrinėjus detaliau -tai pats trolini...",No
"Į bet kurį kompiuterį gali bet kas īkelti bet kokius vaizdus. Mokykliniuose kompuose pilna būdavo, nespėdavo adminai blokuoti ir šalinti, nes patys paaugliai taip ,,nevat"""" pokštaudavo.",No
"nereikia nieko gaudyti.bauda ideti i baze duomenu.ir kol neapmokes ,jokiu banko ir transporto operaciju.nores normaliai gyventi ir pinigau atsiras",No
"Siulyti daug ka galima, ko tik tie seimunai nepasiulo, tik va i istatymus ne viskas irasoma... Su prilyginimu, o ne su irodymu tada gali visus sodinti - nebereiketu niekieno kaltes irodineti, pasakei ir sedi :)",No
"Kometų greitis priartėjus prie Saulės tikrai būna didelis. Tačiau judant orbita toliau nuo Saulės tas greitis sparčiai mažėja ir toliausiame taške nuo Saulės gali būti vos keli km/sek ar dar mažesnis. Tai mokyklinio lygio orbitinė dinamika. Todėl per milijoną metų Kentauro Proksimos nepasieks. Tačiau apie dešimtadalį ar net pusę atstumo iki šios žvaigždės - vietą, kur yra Oorto debesis, kur susikaupę ledo gabalai besisukantys apie Saulę ir iš kurio atskrieja kometos - pasieks.",No
"Vėjų dainos.Gera vieta tuščia nebūna.Reikėtų to nelemto referendumo rengėjus pakabint už geros vietos ir po jo buvusią vyriausybę[referendumas patariamasis],kad nepasistatėm savo.Dabar turėsim nesaugią svetimą ir jokie purkštavimai nepadės.",No
O kuom jis konkreciai kaltas? Jei nori issiverkti gali tai padaryti cia ir dabar :)),No
"Teko Norvegijoj pabūvoti neseniai, žinokite ten vaikai yra dar labiau išpuikę nei čia...",No
"Džiaugiuos už Tave Viktorai, linkiu ir toliau taip gražiai ir laimingai gyventi :)",No
"Pradžiamokslis: KĖBULAS yra automobilio pagrindinė dalis skirta kroviniams arba žmonėms vežti. Beveik visi sunkvežimiai turi RĖMĄ, ant kurio montuojama KABINA (kur sėdi vairuotojas) ir KĖBULAS (platforma su bortais), PLATFORMA (aikštelė be bortų), CISTERNA (bačka) arba dar kas nors, pvz. KELTUVAS. Sunkvežimis, kuris KĖBULĄ gali pakelti ir išversti krovinį, vadinamas SAVIVARČIU. Sunkvežimis, kuris vietoj kėbulo turi BALNĄ (prietaisą puspriekabei prikabinti), vadinamas VILKIKU. PRIEKABA yra daiktas, kuris prikabinamas prie AUTOMOBILIO (gali būti vienašė, dviašė, triašė - nesvarbu, svarbu, kad ji yra PRIKABINAMA), o PUSPRIEKABĖ - daiktas, kuris iš dalies yra uždedamas ant VILKIKO, o galas važiuoja savo ratais. Ne visi AUTOMOBILIAI turi RĖMĄ - LENGVIEJI AUTOMOBILIAI dabar beveik visada gaminami su sustiprintu kėbulu, kuris atstoja ir rėmą - LAIKANČIUOJU KĖBULU, kartais RĖMĄ turi didesnio pravažumo lengvieji automobiliai - VISUREIGIAI. Ai, na bet ką čia jums aiškinti. O delfinai tai išviso nesupras, apie ką čia aš....",No
"Reiktu Karbauskio mero... vienintelis LT miestas kuris masiskai auga, o vaikus kisk kur nori. Pilaite tuoj padvigubes, o mokyklos darzekiai kuuurr? Politikieriai moka tik papostringaut, kad lietuvoj zmoniu mazeja, mat mokyklos uzdaromos, tai ple kalapimpiski uzdarykit, bet vln tai bent 3-5 tikrai reikia!",No
"Taip, didžiojoje dalyje darželių tvarka tokia, kad tėvai moka fiksuotą mėnesinį mokestį. Kodėl? Todėl, kad beveik visus darželio kaštus sudaro fiksuotieji ir tik maisto produktai yra kintami kaštai.",No
